dt_notificacao,acumulado_mortes
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,1
2020-04-01,1
2020-04-02,1
2020-04-03,1
2020-04-04,3
2020-04-05,4
2020-04-06,4
2020-04-07,4
2020-04-08,7
2020-04-09,11
2020-04-10,11
2020-04-11,13
2020-04-12,13
2020-04-13,16
2020-04-14,21
2020-04-15,24
2020-04-16,26
2020-04-17,28
2020-04-18,29
2020-04-19,32
2020-04-20,33
2020-04-21,39
2020-04-22,40
2020-04-23,44
2020-04-24,46
2020-04-25,49
2020-04-26,50
2020-04-27,53
2020-04-28,57
2020-04-29,62
2020-04-30,67
2020-05-01,74
2020-05-02,76
2020-05-03,79
2020-05-04,85
2020-05-05,92
2020-05-06,101
2020-05-07,111
2020-05-08,114
2020-05-09,124
2020-05-10,135
2020-05-11,139
2020-05-12,154
2020-05-13,157
2020-05-14,160
2020-05-15,170
2020-05-16,183
