dt_notificacao,acumulado_mortes
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,1
2020-03-30,2
2020-03-31,3
2020-04-01,4
2020-04-02,5
2020-04-03,6
2020-04-04,7
2020-04-05,7
2020-04-06,10
2020-04-07,12
2020-04-08,12
2020-04-09,13
2020-04-10,14
2020-04-11,14
2020-04-12,14
2020-04-13,15
2020-04-14,17
2020-04-15,17
2020-04-16,20
2020-04-17,24
2020-04-18,24
2020-04-19,24
2020-04-20,24
2020-04-21,24
2020-04-22,25
2020-04-23,26
2020-04-24,26
2020-04-25,27
2020-04-26,27
2020-04-27,28
2020-04-28,28
2020-04-29,28
2020-04-30,30
