dt_notificacao,acumulado_mortes
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,1
2020-03-26,1
2020-03-27,2
2020-03-28,2
2020-03-29,2
2020-03-30,4
2020-03-31,4
2020-04-01,5
2020-04-02,5
2020-04-03,6
2020-04-04,7
2020-04-05,7
2020-04-06,8
2020-04-07,8
2020-04-08,10
2020-04-09,14
2020-04-10,15
2020-04-11,16
2020-04-12,16
2020-04-13,17
2020-04-14,18
2020-04-15,19
2020-04-16,21
2020-04-17,24
2020-04-18,24
2020-04-19,26
2020-04-20,27
2020-04-21,27
2020-04-22,28
2020-04-23,29
2020-04-24,34
2020-04-25,35
2020-04-26,38
2020-04-27,45
2020-04-28,49
2020-04-29,51
2020-04-30,58
2020-05-01,62
2020-05-02,65
2020-05-03,67
2020-05-04,76
2020-05-05,83
2020-05-06,90
2020-05-07,91
2020-05-08,95
2020-05-09,97
2020-05-10,100
2020-05-11,105
2020-05-12,111
2020-05-13,120
2020-05-14,126
2020-05-15,132
2020-05-16,138
2020-05-17,144
2020-05-18,151
2020-05-19,160
2020-05-20,161
2020-05-21,166
2020-05-22,172
2020-05-23,176
2020-05-24,180
