dt_notificacao,acumulado_mortes
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,1
2020-03-31,2
2020-04-01,3
2020-04-02,4
2020-04-03,6
2020-04-04,6
2020-04-05,6
2020-04-06,9
2020-04-07,11
2020-04-08,14
2020-04-09,15
2020-04-10,17
2020-04-11,17
2020-04-12,20
2020-04-13,23
2020-04-14,27
2020-04-15,30
2020-04-16,33
2020-04-17,35
2020-04-18,39
2020-04-19,39
2020-04-20,41
2020-04-21,44
2020-04-22,47
2020-04-23,51
2020-04-24,54
2020-04-25,58
2020-04-26,61
2020-04-27,62
2020-04-28,71
2020-04-29,80
2020-04-30,82
2020-05-01,88
