dt_notificacao,acumulado_mortes
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,1
2020-03-30,2
2020-03-31,2
2020-04-01,2
2020-04-02,3
2020-04-03,6
2020-04-04,7
2020-04-05,9
2020-04-06,10
2020-04-07,14
2020-04-08,18
2020-04-09,19
2020-04-10,19
2020-04-11,21
2020-04-12,21
2020-04-13,22
2020-04-14,26
2020-04-15,28
2020-04-16,34
2020-04-17,36
2020-04-18,40
2020-04-19,45
2020-04-20,47
2020-04-21,48
2020-04-22,53
2020-04-23,62
2020-04-24,67
2020-04-25,72
2020-04-26,74
2020-04-27,83
2020-04-28,93
2020-04-29,100
2020-04-30,106
2020-05-01,117
2020-05-02,123
2020-05-03,128
