dt_notificacao,acumulado_confirmados
2020-03-14,1
2020-03-15,1
2020-03-16,5
2020-03-17,5
2020-03-18,6
2020-03-19,6
2020-03-20,7
2020-03-21,10
2020-03-22,10
2020-03-23,10
2020-03-24,15
2020-03-25,16
2020-03-26,16
2020-03-27,16
2020-03-28,16
2020-03-29,16
2020-03-30,18
2020-03-31,19
2020-04-01,22
2020-04-02,24
2020-04-03,27
2020-04-04,32
2020-04-05,32
2020-04-06,32
2020-04-07,36
2020-04-08,39
2020-04-09,40
2020-04-10,42
2020-04-11,44
2020-04-12,44
2020-04-13,45
2020-04-14,46
2020-04-15,48
2020-04-16,53
2020-04-17,58
2020-04-18,71
2020-04-19,86
2020-04-20,92
2020-04-21,117
2020-04-22,118
2020-04-23,135
2020-04-24,145
2020-04-25,154
2020-04-26,175
2020-04-27,211
2020-04-28,280
2020-04-29,280
2020-04-30,453
2020-05-01,517
2020-05-02,601
2020-05-03,730
2020-05-04,772
