dt_notificacao,acumulado_confirmados
2020-03-19,3
2020-03-20,4
2020-03-21,4
2020-03-22,6
2020-03-23,6
2020-03-24,8
2020-03-25,8
2020-03-26,9
2020-03-27,10
2020-03-28,11
2020-03-29,11
2020-03-30,18
2020-03-31,18
2020-04-01,19
2020-04-02,19
2020-04-03,22
2020-04-04,24
2020-04-05,24
2020-04-06,26
2020-04-07,31
2020-04-08,38
2020-04-09,40
2020-04-10,41
2020-04-11,44
2020-04-12,51
2020-04-13,58
2020-04-14,75
2020-04-15,91
2020-04-16,102
2020-04-17,123
2020-04-18,144
2020-04-19,158
2020-04-20,186
2020-04-21,206
2020-04-22,217
2020-04-23,256
2020-04-24,297
2020-04-25,331
2020-04-26,364
2020-04-27,408
2020-04-28,454
2020-04-29,513
2020-04-30,600
2020-05-01,665
2020-05-02,742
2020-05-03,784
2020-05-04,875
2020-05-05,949
2020-05-06,1051
