dt_notificacao,acumulado_confirmados
2020-03-20,1
2020-03-21,1
2020-03-22,2
2020-03-23,6
2020-03-24,7
2020-03-25,9
2020-03-26,11
2020-03-27,11
2020-03-28,11
2020-03-29,11
2020-03-30,18
2020-03-31,25
2020-04-01,28
2020-04-02,41
2020-04-03,44
2020-04-04,60
2020-04-05,60
2020-04-06,76
2020-04-07,78
2020-04-08,90
2020-04-09,108
2020-04-10,112
2020-04-11,121
2020-04-12,123
2020-04-13,134
2020-04-14,138
2020-04-15,151
2020-04-16,156
2020-04-17,162
2020-04-18,171
2020-04-19,174
2020-04-20,181
2020-04-21,181
2020-04-22,205
2020-04-23,220
2020-04-24,241
2020-04-25,246
2020-04-26,249
2020-04-27,256
2020-04-28,263
2020-04-29,292
2020-04-30,302
2020-05-01,320
